District Name,Mandal Name,School code,School Name,Enrol,"Now
proposed to
release 100%
amount","General
component
(2202-01-001-15-05-500-503)","SC
component
(2202-01-789-15-05-500-503)","ST
component
(2202-01-796-15-05-500-503)"
ADILABAD,INDERAVELLY,36010600826,GOVT. JUNIOR COLLEGE INDERVELLY,314,75000,54000,12750,8250
ADILABAD,INDERAVELLY,36010600901,MPPS SAMMAKA,93,25000,18000,4250,2750
ADILABAD,INDERAVELLY,36010600903,MPUPS YEMAIKUNTA,114,50000,36000,8500,5500
ADILABAD,INDERAVELLY,36010601001,MPPS MUTHNUR,183,50000,36000,8500,5500
ADILABAD,INDERAVELLY,36010601002,ZPHS MUTHNUR,167,50000,36000,8500,5500
ADILABAD,INDERAVELLY,36010601102,MPPS DHANORA B (TM),138,50000,36000,8500,5500
ADILABAD,INDERAVELLY,36010601103,MPPS INKAR GUDA,16,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010601104,ZPHS DHANORA-B,158,50000,36000,8500,5500
ADILABAD,INDERAVELLY,36010601201,MPPS DHANORA (I) RASOOL NAGAR,19,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010601202,TWPS DUBBAGUDA,12,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010601203,MPPS DHANORA-K,27,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010601301,MPPS MOHANSINGH THANDA,28,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010601304,MPUPS GOURAPUR,86,25000,18000,4250,2750
ADILABAD,INDERAVELLY,36010601401,MPPS MENDAPALLI,23,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010601402,TWPS MENDAPALLI-G,14,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010601501,TWPS KESLAPUR,23,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010601601,MPPS HEERAPUR,12,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010601602,MPPS BHAGATH SINGH NAGAR,39,25000,18000,4250,2750
ADILABAD,INDERAVELLY,36010601701,MPPS HARKAPUR-A,56,25000,18000,4250,2750
ADILABAD,INDERAVELLY,36010601702,MPPS HARKAPUR-T,24,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010601703,TWPS KOLAMGUDA-H,12,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010601801,MPUPS ANJI,94,25000,18000,4250,2750
ADILABAD,INDERAVELLY,36010602002,TWPS PITTABONGARAM,43,25000,18000,4250,2750
ADILABAD,INDERAVELLY,36010602007,MPUPS DASNAPUR,126,50000,36000,8500,5500
ADILABAD,INDERAVELLY,36010602008,TW ASHRAM HIGH SCHOOL BOYS PITTABONGARAM,241,50000,36000,8500,5500
ADILABAD,INDERAVELLY,36010602015,MPPS PATHAGUDA-D,29,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010602016,MPPS DASNAPUR GUDA,22,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010602101,TWPS CHITHRUGUDA,34,25000,18000,4250,2750
ADILABAD,INDERAVELLY,36010602102,MPUPS KESLAGUDA,26,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010602201,MPPS SALEGUDA,39,25000,18000,4250,2750
ADILABAD,INDERAVELLY,36010602301,TWPS HEERAPUR,22,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010602302,TWPS ANDU GUDA,18,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010602304,TWPS POLLU GUDA,11,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010602306,MPUPS WALGONDA HEERAPUR,75,25000,18000,4250,2750
ADILABAD,INDERAVELLY,36010602307,MPPS LAXIMPUR - H,26,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010602401,MPUPS BHEEMJI THANDA,62,25000,18000,4250,2750
ADILABAD,INDERAVELLY,36010602402,TWPS DONGARGAON,17,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010602501,MPPS SAKARAM THANDA,22,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010602502,MPPS MAMIDIGUDA-A,24,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010602503,MPPS JAITHRAM THANDA,26,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010602504,TWPS WADAGAON,31,25000,18000,4250,2750
ADILABAD,INDERAVELLY,36010602507,TWPS PALAGUDA,16,10000,7200,1700,1100
ADILABAD,INDERAVELLY,36010602509,TW ASHRAM HIGH SCHOOL WADAGAON,285,75000,54000,12750,8250
ADILABAD,INDERAVELLY,36011700101,MPPS MALLAPUR,44,25000,18000,4250,2750
ADILABAD,INDERAVELLY,36011700201,MPPS DHARMASAGAR-T,40,25000,18000,4250,2750
ADILABAD,INDERAVELLY,36014102366,TWPS SEETHAGUDA,14,10000,7200,1700,1100
ADILABAD,JAINAD,36010202801,MPPS NIRALA (TM),52,25000,18000,4250,2750
ADILABAD,JAINAD,36010202802,MPPS NIRALA (UM),26,10000,7200,1700,1100
ADILABAD,JAINAD,36010203102,MPUPS SANGVI(K),59,25000,18000,4250,2750
ADILABAD,JAINAD,36010203202,ZPHS DEEPAIGUDA,104,50000,36000,8500,5500
ADILABAD,JAINAD,36010203301,ZPHS KOWTHA,59,25000,18000,4250,2750
ADILABAD,JAINAD,36010203302,MPPS KOWTHA,87,25000,18000,4250,2750
ADILABAD,JAINAD,36010203501,MPUPS ANANDPUR,73,25000,18000,4250,2750
ADILABAD,JAINAD,36010203701,MPPS KURA,45,25000,18000,4250,2750
ADILABAD,JAINAD,36010203702,ZPHS KURA,101,50000,36000,8500,5500
ADILABAD,JAINAD,36010203903,MPPS KARANJI-K,76,25000,18000,4250,2750
ADILABAD,JAINAD,36010204001,MPPS KHAPRI,35,25000,18000,4250,2750
ADILABAD,JAINAD,36010204201,MPPS BELGAON,22,10000,7200,1700,1100
ADILABAD,JAINAD,36010204302,MPUPS BELLURI,35,25000,18000,4250,2750
ADILABAD,JAINAD,36010204401,MPPS MAKODA,23,10000,7200,1700,1100
ADILABAD,JAINAD,36010204504,MPPS JAINAD,145,50000,36000,8500,5500
ADILABAD,JAINAD,36010204507,KGBV JAINAD,335,75000,54000,12750,8250
ADILABAD,JAINAD,36010204513,TGMS JAINAD,625,75000,54000,12750,8250
ADILABAD,JAINAD,36010204801,MPPS KAMTHA,35,25000,18000,4250,2750
ADILABAD,JAINAD,36010205201,MPPS LAXMIPUR U,49,25000,18000,4250,2750
ADILABAD,JAINAD,36010205202,ZPHS LAXMIPUR U,66,25000,18000,4250,2750
ADILABAD,MAVALA,36011000103,MPUPS BATTISAWARGAON,80,25000,18000,4250,2750
ADILABAD,MAVALA,36011000112,MPPS DHAJINAGAR,35,25000,18000,4250,2750
ADILABAD,MAVALA,36011000203,MPPS MAVALA-1,76,25000,18000,4250,2750
ADILABAD,MAVALA,36011000204,MPPS MAVALA-2,40,25000,18000,4250,2750
ADILABAD,MAVALA,36011000205,ZPHS MAVALA,133,50000,36000,8500,5500
ADILABAD,MAVALA,36011000301,MPPS WAGHAPUR,82,25000,18000,4250,2750
ADILABAD,MAVALA,36011000302,TWPS KOLAMGUDA (WAGHAPUR),16,10000,7200,1700,1100
ADILABAD,MAVALA,36011000303,ZPHS WAGHAPUR,73,25000,18000,4250,2750
ADILABAD,NARNOOR,36010500101,MPPS SUNGAPUR-G,32,25000,18000,4250,2750
ADILABAD,NARNOOR,36010500201,TWPS CHORGAON-MT,54,25000,18000,4250,2750
ADILABAD,NARNOOR,36010500202,TWPS CHORGAON-G,20,10000,7200,1700,1100
ADILABAD,NARNOOR,36010500301,TWPS MANJARI,17,10000,7200,1700,1100
ADILABAD,NARNOOR,36010500402,TWPS SEETHA GUDA,14,10000,7200,1700,1100
ADILABAD,NARNOOR,36010500501,MPPS DHUPAPUR,24,10000,7200,1700,1100
ADILABAD,NARNOOR,36010500601,TWPS YEMPALLY-G,11,10000,7200,1700,1100
ADILABAD,NARNOOR,36010500701,MPPS UMRI,27,10000,7200,1700,1100
ADILABAD,NARNOOR,36010500703,MPPS CHITTA GUDA UMRI,15,10000,7200,1700,1100
ADILABAD,NARNOOR,36010500804,MPPS KOTHAPALLY-H,29,10000,7200,1700,1100
ADILABAD,NARNOOR,36010500809,ZPHS BHIMPUR,135,50000,36000,8500,5500
ADILABAD,NARNOOR,36010500811,TW ASHRAM PRIMARY SCHOOL BHEEMPUR,19,10000,7200,1700,1100
ADILABAD,NARNOOR,36010500901,TWPS MALKUGUDA,14,10000,7200,1700,1100
ADILABAD,NARNOOR,36010501002,MPPS NARNOOR,105,50000,36000,8500,5500
ADILABAD,NARNOOR,36010501004,MPPS NARNOOR SC,43,25000,18000,4250,2750
ADILABAD,NARNOOR,36010501005,ZPHS NARNOOR (TM),129,50000,36000,8500,5500
ADILABAD,NARNOOR,36010501006,TW ASHRAM HIGH SCHOOL GIRLS NARNOOR,270,75000,54000,12750,8250
ADILABAD,NARNOOR,36010501007,MPPS NARNOOR (UM),55,25000,18000,4250,2750
ADILABAD,NARNOOR,36010501008,ZPHS NARNOOR (UM),80,25000,18000,4250,2750
ADILABAD,NARNOOR,36010501011,KGBV NARNOOR,168,50000,36000,8500,5500
ADILABAD,NARNOOR,36010501014,GOVT. JUNIOR COLLEGE NARNOOR,104,50000,36000,8500,5500
ADILABAD,NARNOOR,36010501019,TW ASHRAM PRIMARY SCHOOL BOYS NARNOOR,35,25000,18000,4250,2750
ADILABAD,NARNOOR,36010501101,MPPS KHAIRDATWA,30,10000,7200,1700,1100
ADILABAD,NARNOOR,36010501201,MPPS GUNDALA-G,39,25000,18000,4250,2750
ADILABAD,NARNOOR,36010501202,MPPS MAHARGUDA,32,25000,18000,4250,2750
ADILABAD,NARNOOR,36010501203,TWPS GUNDALA-LT,19,10000,7200,1700,1100
ADILABAD,NARNOOR,36010501401,MPPS KHAMPUR,72,25000,18000,4250,2750
ADILABAD,NARNOOR,36010501501,MPPS MAHAGAON,20,10000,7200,1700,1100
ADILABAD,NARNOOR,36010501602,TWPS MANKAPUR,62,25000,18000,4250,2750
ADILABAD,NARNOOR,36010501603,TW ASHRAM HIGH SCHOOL BOYS MANKAPUR,269,75000,54000,12750,8250
ADILABAD,NARNOOR,36010501801,MPPS GUNJALA,53,25000,18000,4250,2750
ADILABAD,NARNOOR,36010501802,TWPS SHEKGUDA,12,10000,7200,1700,1100
ADILABAD,NARNOOR,36010501803,TWPS SOMUGUDA,11,10000,7200,1700,1100
ADILABAD,NARNOOR,36010501804,MPPS KHATHIGUDA,31,25000,18000,4250,2750
ADILABAD,NARNOOR,36010501901,MPPS TADIHADPNUR,34,25000,18000,4250,2750
ADILABAD,NARNOOR,36010501902,MPPS MUKTHAPUR,25,10000,7200,1700,1100
ADILABAD,NARNOOR,36010501904,TWPS GANGAPUR-G,14,10000,7200,1700,1100
ADILABAD,NARNOOR,36010501905,TWPS POOSI GUDA,19,10000,7200,1700,1100
ADILABAD,NARNOOR,36010501908,TWPS DURGUGUDA,13,10000,7200,1700,1100
ADILABAD,NARNOOR,36010501909,MPPS TADIHADAPNUR-SC,65,25000,18000,4250,2750
ADILABAD,NARNOOR,36010501911,ZPHS TADIHADPNUR,119,50000,36000,8500,5500
ADILABAD,NARNOOR,36010501912,TW ASHRAM HIGH SCHOOL BOYS TADIHADPNUR,192,50000,36000,8500,5500
ADILABAD,NARNOOR,36010501914,TW ASHRAM HIGH SCHOOL GIRLS JAMDA,188,50000,36000,8500,5500
ADILABAD,NARNOOR,36010502001,MPPS BALANPUR,32,25000,18000,4250,2750
ADILABAD,NARNOOR,36010502102,TWPS BETHALGUDA,14,10000,7200,1700,1100
ADILABAD,NARNOOR,36010502201,MPPS ILYASNAGAR (UM),36,25000,18000,4250,2750
ADILABAD,NARNOOR,36010502203,TWPS DEVAPATAR,11,10000,7200,1700,1100
ADILABAD,NARNOOR,36010502208,MPUPS MUSLIMGUDA,52,25000,18000,4250,2750
ADILABAD,NARNOOR,36010502209,MPPS BHAVANI GUDA,19,10000,7200,1700,1100
ADILABAD,NARNOOR,36010502301,MPPS MALEPUR,66,25000,18000,4250,2750
ADILABAD,NARNOOR,36010502401,MPPS MALANGI-SC,12,10000,7200,1700,1100
ADILABAD,NARNOOR,36010502402,TWPS MALANGI-LT,16,10000,7200,1700,1100
ADILABAD,NARNOOR,36010502403,TWPS MALANGI-G,11,10000,7200,1700,1100
