District Name,Mandal Name,School code,School Name,Enrol,"Now
proposed to
release 100%
amount","General
component
(2202-01-001-15-05-500-503)","SC
component
(2202-01-789-15-05-500-503)","ST
component
(2202-01-796-15-05-500-503)"
WANAPARTHY,PEBBAIR,36271102101,MPPS YAPARLA,114,50000,36000,8500,5500
WANAPARTHY,PEBBAIR,36271102102,MPPS YAPARLA (SC),20,10000,7200,1700,1100
WANAPARTHY,PEBBAIR,36271102103,ZPHS YAPARLA,74,25000,18000,4250,2750
WANAPARTHY,PEBBAIR,36271102202,MPPS GUMMADAM (HW),62,25000,18000,4250,2750
WANAPARTHY,PEBBAIR,36271102206,ZPHS GUMMADAM,40,25000,18000,4250,2750
WANAPARTHY,PEDDAMANDADI,36270300102,MPPS BALIJAPALLY,99,25000,18000,4250,2750
WANAPARTHY,PEDDAMANDADI,36270300103,ZPHS BALIJAPALLY,282,75000,54000,12750,8250
WANAPARTHY,PEDDAMANDADI,36270300301,MPPS VELTOOR,39,25000,18000,4250,2750
WANAPARTHY,PEDDAMANDADI,36270300302,MPPS CHILKATONIPALY,15,10000,7200,1700,1100
WANAPARTHY,PEDDAMANDADI,36270300303,MPPS VELTOOR (HW),11,10000,7200,1700,1100
WANAPARTHY,PEDDAMANDADI,36270300305,ZPHS VELTOOR,113,50000,36000,8500,5500
WANAPARTHY,PEDDAMANDADI,36270300401,MPPS GATLAKHANAPUR TANDA,14,10000,7200,1700,1100
WANAPARTHY,PEDDAMANDADI,36270300406,MPPS GATLAKHANAPUR,66,25000,18000,4250,2750
WANAPARTHY,PEDDAMANDADI,36270300407,ZPHS GATLAKHANAPUR,22,10000,7200,1700,1100
WANAPARTHY,PEDDAMANDADI,36270300502,MPUPS ALWAL,31,25000,18000,4250,2750
WANAPARTHY,PEDDAMANDADI,36270300603,MPUPS CHINNAMANDADI,78,25000,18000,4250,2750
WANAPARTHY,PEDDAMANDADI,36270300701,MPUPS VEERAIPALLE,57,25000,18000,4250,2750
WANAPARTHY,PEDDAMANDADI,36270300801,MPPS CHIKAR CHETTU TANDA,19,10000,7200,1700,1100
WANAPARTHY,PEDDAMANDADI,36270300803,MPPS PAMIREDDYPALLY,57,25000,18000,4250,2750
WANAPARTHY,PEDDAMANDADI,36270300901,MPUPS AMMAPALLE,49,25000,18000,4250,2750
WANAPARTHY,PEDDAMANDADI,36270300903,MPPS MADDIGATLA,43,25000,18000,4250,2750
WANAPARTHY,PEDDAMANDADI,36270300905,ZPHS MADDIGATLA (MOJERLA),152,50000,36000,8500,5500
WANAPARTHY,PEDDAMANDADI,36270301001,MPPS MOJERLA,46,25000,18000,4250,2750
WANAPARTHY,PEDDAMANDADI,36270301102,MPPS MANIGILLA,88,25000,18000,4250,2750
WANAPARTHY,PEDDAMANDADI,36270301103,ZPHS MANIGILLA,102,50000,36000,8500,5500
WANAPARTHY,PEDDAMANDADI,36270301202,MPPS JAGATHPALLE,56,25000,18000,4250,2750
WANAPARTHY,PEDDAMANDADI,36270301203,ZPHS JAGATHPALLE,61,25000,18000,4250,2750
WANAPARTHY,PEDDAMANDADI,36270301301,MPPS PEDDAMANDADI,129,50000,36000,8500,5500
WANAPARTHY,PEDDAMANDADI,36270301303,MPPS PEDDAMANDADI (HW),66,25000,18000,4250,2750
WANAPARTHY,PEDDAMANDADI,36270301304,MPPS PEDDAMANDADI TANDA,22,10000,7200,1700,1100
WANAPARTHY,PEDDAMANDADI,36270301307,MPUPS DODAGUNTAPALLY,35,25000,18000,4250,2750
WANAPARTHY,PEDDAMANDADI,36270301309,ZPHS PEDDAMANDADI,333,75000,54000,12750,8250
WANAPARTHY,PEDDAMANDADI,36270301310,KGBV PEDDAMANDADI,242,50000,36000,8500,5500
WANAPARTHY,PEDDAMANDADI,36270301316,"GOVT. JR.COLLEGE, PEDDAMANDADI",116,50000,36000,8500,5500
WANAPARTHY,REVELLY,36270600101,ZPHS THALPUNUR,129,50000,36000,8500,5500
WANAPARTHY,REVELLY,36270600401,MPPS NAGAPUR,44,25000,18000,4250,2750
WANAPARTHY,REVELLY,36270600402,ZPHS NAGAPUR,103,50000,36000,8500,5500
WANAPARTHY,REVELLY,36270600403,MPPS GOURIDEVIPALLY,37,25000,18000,4250,2750
WANAPARTHY,REVELLY,36270600503,ZPHS REVALLY,146,50000,36000,8500,5500
WANAPARTHY,REVELLY,36270600508,KGBV REVALLY,400,75000,54000,12750,8250
WANAPARTHY,REVELLY,36270600601,MPUPS KESHAMPETA,76,25000,18000,4250,2750
WANAPARTHY,REVELLY,36270600602,MPPS KESHAMPET KOTHA TANDA,22,10000,7200,1700,1100
WANAPARTHY,REVELLY,36270600603,MPPS KESHAMPET PATHA TANDA,25,10000,7200,1700,1100
WANAPARTHY,REVELLY,36270600703,MPPS GOLLAPALLY,61,25000,18000,4250,2750
WANAPARTHY,REVELLY,36270601001,MPPS KONKALAPALLY,51,25000,18000,4250,2750
WANAPARTHY,REVELLY,36270601101,MPUPS BANDARAIPAKULA,64,25000,18000,4250,2750
WANAPARTHY,SRIRANGAPUR,36271200102,MPUPS THATIPAMULA,102,50000,36000,8500,5500
WANAPARTHY,SRIRANGAPUR,36271200203,MPUPS KAMBALLAPUR,87,25000,18000,4250,2750
WANAPARTHY,SRIRANGAPUR,36271200301,MPPS NAGARALA,52,25000,18000,4250,2750
WANAPARTHY,SRIRANGAPUR,36271200401,MPPS SERIPALLE,140,50000,36000,8500,5500
WANAPARTHY,SRIRANGAPUR,36271200404,MPPS SRIRANGAPUR (UM),15,10000,7200,1700,1100
WANAPARTHY,SRIRANGAPUR,36271200408,ZPHS SRIRANGAPUR,259,75000,54000,12750,8250
